Long,Lat,SA3,SA3 NAME,2021-22
143.8155661,-37.56945525,20101,Ballarat,-0.140136958
144.1052222,-37.49154572,20102,Creswick - Daylesford - Ballan,-0.10489976
143.508019,-37.29233005,20103,Maryborough - Pyrenees,-0.114025876
144.2889319,-36.74584838,20201,Bendigo,-0.125319127
144.3530503,-37.01212361,20202,Heathcote - Castlemaine - Kyneton,-0.113184894
143.9532044,-36.38212152,20203,Loddon - Elmore,-0.077661813
143.993573,-38.0615921,20301,Barwon - West,-0.089777715
144.3656548,-38.01884853,20302,Geelong,-0.098674333
144.2589112,-38.33803209,20303,Surf Coast - Bellarine Peninsula,-0.108854926
145.6645148,-37.12983978,20401,Upper Goulburn Valley,-0.107281013
146.2749102,-36.5475766,20402,Wangaratta - Benalla,-0.043028119
147.2616875,-36.51842985,20403,Wodonga - Alpine,-0.075753045
146.1247879,-37.98185615,20501,Baw Baw,-0.107210255
148.2548822,-37.37811719,20502,Gippsland - East,-0.081569143
145.9467495,-38.58604917,20503,Gippsland - South West,-0.089898361
146.446146,-38.25859753,20504,Latrobe Valley,-0.090330132
146.8939045,-37.93351137,20505,Wellington,-0.069795758
144.9577572,-37.7555119,20601,Brunswick - Coburg,-0.122836053
145.007421,-37.76766347,20602,Darebin - South,-0.124330594
144.9142086,-37.76263062,20603,Essendon,-0.1188437
144.9483183,-37.80786183,20604,Melbourne City,-0.144339717
144.9552942,-37.84771764,20605,Port Phillip,-0.086072932
145.0087868,-37.84675148,20606,Stonnington - West,-0.089028571
144.9968877,-37.80138109,20607,Yarra,-0.086698895
145.0630092,-37.81937265,20701,Boroondara,-0.133323267
145.1348151,-37.76851269,20702,Manningham - West,-0.125856923
145.1325967,-37.82806341,20703,Whitehorse - West,-0.131325075
145.0181599,-37.94182591,20801,Bayside,-0.143965699
145.0445111,-37.90110747,20802,Glen Eira,-0.123032553
145.1010493,-37.9996802,20803,Kingston,-0.111069135
145.0552795,-37.86766569,20804,Stonnington - East,-0.125222953
145.0851331,-37.73037709,20901,Banyule,-0.110144848
145.0168009,-37.72126895,20902,Darebin - North,-0.103942652
145.3096368,-37.56691379,20903,Nillumbik - Kinglake,-0.101922525
145.0745793,-37.46462055,20904,Whittlesea - Wallan,-0.139962208
144.866665,-37.73122186,21001,Keilor,-0.12699342
144.6979256,-37.39295768,21002,Macedon Ranges,-0.102721918
144.9427514,-37.71245161,21003,Moreland - North,-0.090945382
144.7320687,-37.56628971,21004,Sunbury,-0.110530649
144.8812917,-37.61377944,21005,Tullamarine - Broadmeadows,-0.166920202
145.2605125,-37.89002983,21101,Knox,-0.12672485
145.2304326,-37.75604669,21102,Manningham - East,-0.133746032
145.2654505,-37.80474651,21103,Maroondah,-0.105760537
145.1878782,-37.83327643,21104,Whitehorse - East,-0.119396478
145.5498634,-37.74719278,21105,Yarra Ranges,-0.116423671
145.5728486,-38.08295101,21201,Cardinia,-0.126243596
145.3121617,-38.00449386,21202,Casey - North,-0.158495146
145.3077684,-38.14397224,21203,Casey - South,-0.166968996
145.1797936,-37.99801811,21204,Dandenong,-0.145360169
145.14563,-37.89706918,21205,Monash,-0.123516195
144.797033,-37.75186773,21301,Brimbank,-0.181511628
144.8316359,-37.85458206,21302,Hobsons Bay,-0.110247183
144.8777782,-37.79525424,21303,Maribyrnong,-0.136913001
144.571596,-37.68285845,21304,Melton - Bacchus Marsh,-0.194787248
144.6188311,-37.88652939,21305,Wyndham,-0.159767025
145.1738047,-38.13459505,21401,Frankston,-0.128104654
145.0353376,-38.34167418,21402,Mornington Peninsula,-0.128860344
142.1011096,-36.55431753,21501,Grampians,-0.036581473
141.6828832,-34.86921778,21502,Mildura,0.040159723
143.2135352,-35.60889377,21503,Murray River - Swan Hill,-0.037965985
144.7194876,-36.34512054,21601,Campaspe,-0.056710258
145.5503592,-36.06189272,21602,Moira,-0.033588583
145.3818327,-36.39840647,21603,Shepparton,-0.060378385
141.7203887,-37.70006701,21701,Glenelg - Southern Grampians,-0.00515961
143.3738257,-38.31291578,21703,Colac - Corangamite,-0.092734704
142.4971213,-38.127016,21704,Warrnambool,-0.05094
